evaluations,r2_theta1,r2_theta2,r2_theta1_extra,r2_theta2_extra
1.300000000000000000e+01,2.936927040849057757e-02,3.372950170759092536e-02,-2.051780228989308341e-02,-1.926032140610423049e-02
2.680000000000000000e+02,1.241420639949849525e-01,1.235866860546390722e-01,6.763174617992018245e-02,6.100587541208990494e-02
5.210000000000000000e+02,1.902858522644165218e-01,1.906230683727045960e-01,1.380427549823295408e-01,1.328272500856505500e-01
7.770000000000000000e+02,2.612631914362595342e-01,2.616484966907549614e-01,2.135994516433440404e-01,2.089243637677731247e-01
1.028000000000000000e+03,3.268860522389216428e-01,3.273525736384821361e-01,2.834562439248117238e-01,2.793201595219936273e-01
1.278000000000000000e+03,4.010278730680083559e-01,3.994698638509098787e-01,3.623818028613395859e-01,3.565872256082640579e-01
1.532000000000000000e+03,4.660044820762723194e-01,4.625515144957821345e-01,4.315506521396500483e-01,4.241734066686292381e-01
1.790000000000000000e+03,5.347092962354447199e-01,5.299548374029033893e-01,5.046883422993306834e-01,4.963898045204959697e-01
2.050000000000000000e+03,6.012291215735469097e-01,5.966692441625358612e-01,5.755000906656770887e-01,5.678682142192281734e-01
2.308000000000000000e+03,6.658956243266359598e-01,6.621136408460415179e-01,6.443394193258599190e-01,6.379859167585038016e-01
2.558000000000000000e+03,7.430053631571016393e-01,7.408606117886906706e-01,7.264240449150851653e-01,7.223560935020754137e-01
2.810000000000000000e+03,8.604068716958784835e-01,8.607857468195542205e-01,8.514003876448205110e-01,8.508449491888894212e-01
3.067000000000000000e+03,8.908715258213366628e-01,8.910620096775877519e-01,8.838307080306602170e-01,8.832830012350960658e-01
3.324000000000000000e+03,9.038438444305302299e-01,9.035974235939324695e-01,8.976397755901336373e-01,8.967135380676175549e-01
3.576000000000000000e+03,9.109498485547018465e-01,9.106669320873559403e-01,9.052042645883067173e-01,9.042878561340079724e-01
3.837000000000000000e+03,9.204912825747593175e-01,9.201537693002982410e-01,9.153613596865155522e-01,9.144521136045677956e-01
4.089000000000000000e+03,9.255825855966844928e-01,9.252809211899155617e-01,9.207811718995700945e-01,9.199453913374334713e-01
4.341000000000000000e+03,9.300369338341952785e-01,9.296724480417574155e-01,9.255229014003929500e-01,9.246504973694642526e-01
4.591000000000000000e+03,9.360389223327958419e-01,9.356817446299370289e-01,9.319121714023729242e-01,9.310889019206856076e-01
4.842000000000000000e+03,9.442299908761737637e-01,9.439236828981011351e-01,9.406317632956624486e-01,9.399193825185218065e-01
5.096000000000000000e+03,9.533543095914110976e-01,9.530727025777575578e-01,9.503448352189363124e-01,9.497217465382145063e-01
5.352000000000000000e+03,9.591419764473141374e-01,9.589012097059194106e-01,9.565059100214163834e-01,9.559664654137983719e-01
5.606000000000000000e+03,9.672651877056528402e-01,9.670872128086897002e-01,9.651534013573654924e-01,9.647370724253729879e-01
5.866000000000000000e+03,9.759796647437570805e-01,9.759517910614120551e-01,9.744299581028771362e-01,9.742345817083144510e-01
6.118000000000000000e+03,9.831828607271601017e-01,9.833043442490591035e-01,9.820978273204988840e-01,9.821121547056546053e-01
6.374000000000000000e+03,9.857040387126290160e-01,9.859090739424523075e-01,9.847816715276785926e-01,9.849028732722112656e-01
6.626000000000000000e+03,9.884505855941649877e-01,9.887983687377934761e-01,9.877054176698519816e-01,9.879985037386632696e-01
6.881000000000000000e+03,9.892906316315860371e-01,9.896776199750119130e-01,9.885996573963276024e-01,9.889405228236158862e-01
7.131000000000000000e+03,9.895190141678723572e-01,9.899120483571435258e-01,9.888427761036674424e-01,9.891916884639871954e-01
7.383000000000000000e+03,9.894043279128794666e-01,9.897706579138040306e-01,9.887206904842993360e-01,9.890402019341245632e-01
7.639000000000000000e+03,9.892076475556850212e-01,9.895367443473113145e-01,9.885113202692700218e-01,9.887895847871661648e-01
7.899000000000000000e+03,9.891628671674803641e-01,9.894739382564362584e-01,9.884636496089028723e-01,9.887222948351627183e-01
8.153000000000000000e+03,9.891504247526374805e-01,9.894301169775459037e-01,9.884504056217892076e-01,9.886753439894440110e-01
8.412000000000000000e+03,9.891408511322575814e-01,9.893950246536671322e-01,9.884402151130757819e-01,9.886377460896518254e-01
8.665000000000000000e+03,9.891718813880867600e-01,9.894098998528817468e-01,9.884732466070820234e-01,9.886536840553041827e-01
8.924000000000000000e+03,9.892743980898259792e-01,9.895040853033441053e-01,9.885823778060199851e-01,9.887545950335323575e-01
9.176000000000000000e+03,9.896002168973181412e-01,9.898202803656834803e-01,9.889292207198172591e-01,9.890933681971485480e-01
9.436000000000000000e+03,9.903123282035093400e-01,9.905068861015698944e-01,9.896872770437523670e-01,9.898290033403432941e-01
9.687000000000000000e+03,9.906342707815909421e-01,9.908143755156684218e-01,9.900299928996446619e-01,9.901584494490363042e-01
9.943000000000000000e+03,9.908347307102676194e-01,9.910035811518775883e-01,9.902433847734255501e-01,9.903611659273694467e-01
1.019400000000000000e+04,9.910921879796120715e-01,9.912476779612835465e-01,9.905174531189935294e-01,9.906226928108035068e-01
1.045400000000000000e+04,9.912548543739511109e-01,9.914008679997187157e-01,9.906906155312075191e-01,9.907868218633448798e-01
1.071300000000000000e+04,9.913610457974818546e-01,9.914996775053963596e-01,9.908036587282682550e-01,9.908926871329294395e-01
1.096500000000000000e+04,9.914104847616580507e-01,9.915444463447021795e-01,9.908562873024944206e-01,9.909406528284087079e-01
1.122100000000000000e+04,9.914358033999987052e-01,9.915668525790648502e-01,9.908832395216881084e-01,9.909646590767995367e-01
1.147400000000000000e+04,9.914312977115622427e-01,9.915610370714760258e-01,9.908784428464867400e-01,9.909584283268543237e-01
1.172500000000000000e+04,9.914001057212601387e-01,9.915302727652068882e-01,9.908452384206815067e-01,9.909254672443872369e-01
1.198500000000000000e+04,9.913787786465204643e-01,9.915055719223009323e-01,9.908225353049966433e-01,9.908990025688617642e-01
1.224300000000000000e+04,9.913877721916637409e-01,9.915129453795742398e-01,9.908321094720662359e-01,9.909069025778358686e-01
1.250000000000000000e+04,9.914097009778878311e-01,9.915330692192443340e-01,9.908554533970900247e-01,9.909284633920490970e-01
1.275400000000000000e+04,9.914297081824029467e-01,9.915524543588203343e-01,9.908767511625493629e-01,9.909492327254305621e-01
1.300600000000000000e+04,9.914677014190842463e-01,9.915908096580791087e-01,9.909171957789204566e-01,9.909903268490286576e-01
1.326600000000000000e+04,9.914834386443971415e-01,9.916075947759394049e-01,9.909339486946947551e-01,9.910083105269923420e-01
1.351900000000000000e+04,9.915059153471184050e-01,9.916303913175441576e-01,9.909578756382089182e-01,9.910327349564468369e-01
1.377900000000000000e+04,9.915308264097393298e-01,9.916566133050481735e-01,9.909843939839443339e-01,9.910608294385921946e-01
1.403600000000000000e+04,9.915401803570379480e-01,9.916661283405040495e-01,9.909943508352943020e-01,9.910710239638763630e-01
1.429200000000000000e+04,9.915560686169785365e-01,9.916799503694978535e-01,9.910112645338061688e-01,9.910858329685472423e-01
