Name: Double Pendulum Windowed Sine-feature PINN
Method: fixed sine-feature PINN; Levenberg-Marquardt; sequential windows
Data file: /Users/kien-macbook/Desktop/Github-Kien/PINNs/Double-Pendulum/double_pendulum_data.dat
Observed through: 4.99 s
Prediction end: 20.0 s
Data step: 10
Training samples: 51
Observation intervals per window: 1
Forecast evaluation interval: (4.99, 20.0] s
Seed: 0
Precision: torch.float64
Feature count: 16
Retained feature rank: 13
Forecast window: 0.025
Physics points: 33
Independent validation points: 66
Physics tolerance: 1e-10
Maximum evaluations per window: 200
Completed windows: 651
Training runtime: 00:00:04
Observed R2 theta1: 1.000000000
Observed R2 theta2: 1.000000000
R2 theta1 extrapolation: 0.680487661
R2 theta2 extrapolation: 0.002482432
Future reference labels are used for evaluation/plots only.
Observed windows assimilate measured boundary angles and estimate velocities.
Forecast boundaries inherit all four predicted state components, without measurement resets.

window start end observed evaluations data_loss validation_physics_loss optimizer_status
1 0.00000000 0.10000000 1 6 0.000000e+00 7.811153e-24 3
2 0.10000000 0.20000000 1 5 0.000000e+00 7.474731e-24 3
3 0.20000000 0.30000000 1 5 0.000000e+00 7.117907e-24 3
4 0.30000000 0.40000000 1 6 0.000000e+00 1.159659e-23 3
5 0.40000000 0.50000000 1 6 0.000000e+00 5.484738e-23 3
6 0.50000000 0.60000000 1 5 7.703720e-34 8.355933e-23 3
7 0.60000000 0.70000000 1 6 3.081488e-33 4.749747e-23 3
8 0.70000000 0.80000000 1 6 3.081488e-33 4.566251e-23 3
9 0.80000000 0.90000000 1 6 0.000000e+00 1.443412e-22 3
10 0.90000000 1.00000000 1 6 0.000000e+00 6.621998e-18 3
11 1.00000000 1.10000000 1 6 2.429598e-26 4.304624e-13 3
12 1.10000000 1.20000000 1 6 3.081488e-33 6.414781e-18 3
13 1.20000000 1.30000000 1 6 7.703720e-34 1.636838e-22 3
14 1.30000000 1.40000000 1 6 1.733337e-33 6.672126e-23 3
15 1.40000000 1.50000000 1 6 1.309632e-32 9.630921e-22 3
16 1.50000000 1.60000000 1 6 8.091987e-30 1.702633e-14 3
17 1.60000000 1.70000000 1 7 3.137777e-17 1.949169e-08 4
18 1.70000000 1.80000000 1 6 1.309632e-32 3.923637e-17 3
19 1.80000000 1.90000000 1 6 4.814825e-35 6.091142e-22 3
20 1.90000000 2.00000000 1 6 7.703720e-34 1.786878e-22 3
21 2.00000000 2.10000000 1 6 0.000000e+00 4.324428e-22 3
22 2.10000000 2.20000000 1 6 0.000000e+00 2.375881e-17 3
23 2.20000000 2.30000000 1 6 2.902269e-27 1.737604e-13 3
24 2.30000000 2.40000000 1 6 0.000000e+00 5.263548e-19 3
25 2.40000000 2.50000000 1 6 3.081488e-33 3.469344e-23 3
26 2.50000000 2.60000000 1 6 0.000000e+00 3.192535e-23 3
27 2.60000000 2.70000000 1 6 5.825938e-33 3.063025e-23 3
28 2.70000000 2.80000000 1 6 0.000000e+00 1.220054e-22 3
29 2.80000000 2.90000000 1 5 0.000000e+00 1.076510e-22 3
30 2.90000000 3.00000000 1 6 1.232595e-32 4.000552e-23 3
31 3.00000000 3.10000000 1 5 0.000000e+00 3.924040e-23 3
32 3.10000000 3.20000000 1 5 0.000000e+00 3.698576e-23 3
33 3.20000000 3.30000000 1 5 0.000000e+00 1.802635e-23 3
34 3.30000000 3.40000000 1 5 0.000000e+00 7.210050e-24 3
35 3.40000000 3.50000000 1 5 3.081488e-33 8.078410e-24 3
36 3.50000000 3.60000000 1 5 7.703720e-34 1.109037e-23 3
37 3.60000000 3.70000000 1 6 0.000000e+00 8.096156e-24 3
38 3.70000000 3.80000000 1 6 9.750020e-34 1.913224e-23 3
39 3.80000000 3.90000000 1 6 1.925930e-34 1.988644e-23 3
40 3.90000000 4.00000000 1 6 4.930381e-30 5.618873e-15 3
41 4.00000000 4.10000000 1 9 4.156578e-17 5.532804e-08 3
42 4.10000000 4.20000000 1 6 3.468600e-31 2.594869e-15 3
43 4.20000000 4.30000000 1 6 1.232595e-32 4.386142e-22 3
44 4.30000000 4.40000000 1 6 2.465190e-32 2.356851e-22 3
45 4.40000000 4.50000000 1 6 4.333342e-34 2.901182e-22 3
46 4.50000000 4.60000000 1 6 1.109336e-29 9.399890e-15 3
47 4.60000000 4.70000000 1 7 1.610810e-19 2.365593e-08 3
48 4.70000000 4.80000000 1 6 6.162976e-32 1.065203e-15 3
49 4.80000000 4.90000000 1 6 0.000000e+00 5.442397e-22 3
50 4.90000000 4.99000000 1 6 0.000000e+00 4.038447e-22 3
51 4.99000000 5.01500000 0 5 0.000000e+00 2.430912e-23 3
52 5.01500000 5.04000000 0 5 0.000000e+00 2.355157e-23 3
53 5.04000000 5.06500000 0 5 0.000000e+00 1.928538e-23 3
54 5.06500000 5.09000000 0 5 0.000000e+00 1.693536e-23 3
55 5.09000000 5.11500000 0 5 0.000000e+00 1.982317e-23 3
56 5.11500000 5.14000000 0 5 0.000000e+00 2.431669e-23 3
57 5.14000000 5.16500000 0 5 0.000000e+00 2.594517e-23 3
58 5.16500000 5.19000000 0 5 0.000000e+00 2.431448e-23 3
59 5.19000000 5.21500000 0 5 0.000000e+00 2.134857e-23 3
60 5.21500000 5.24000000 0 5 0.000000e+00 1.918871e-23 3
61 5.24000000 5.26500000 0 5 0.000000e+00 1.939524e-23 3
62 5.26500000 5.29000000 0 5 0.000000e+00 1.624633e-23 3
63 5.29000000 5.31500000 0 5 0.000000e+00 1.876064e-22 3
64 5.31500000 5.34000000 0 6 0.000000e+00 3.064010e-19 3
65 5.34000000 5.36500000 0 6 0.000000e+00 3.643714e-20 3
66 5.36500000 5.39000000 0 6 0.000000e+00 2.329843e-21 3
67 5.39000000 5.41500000 0 5 0.000000e+00 3.379332e-22 3
68 5.41500000 5.44000000 0 5 0.000000e+00 7.485915e-22 3
69 5.44000000 5.46500000 0 5 0.000000e+00 3.692867e-22 3
70 5.46500000 5.49000000 0 5 0.000000e+00 1.749355e-22 3
71 5.49000000 5.51500000 0 5 0.000000e+00 9.767839e-23 3
72 5.51500000 5.54000000 0 5 0.000000e+00 6.915194e-23 3
73 5.54000000 5.56500000 0 5 0.000000e+00 6.542950e-23 3
74 5.56500000 5.59000000 0 5 0.000000e+00 7.749771e-23 3
75 5.59000000 5.61500000 0 5 0.000000e+00 9.737164e-23 3
76 5.61500000 5.64000000 0 5 0.000000e+00 1.135040e-22 3
77 5.64000000 5.66500000 0 5 0.000000e+00 1.155351e-22 3
78 5.66500000 5.69000000 0 5 0.000000e+00 1.024902e-22 3
79 5.69000000 5.71500000 0 5 0.000000e+00 8.283725e-23 3
80 5.71500000 5.74000000 0 5 0.000000e+00 6.559583e-23 3
81 5.74000000 5.76500000 0 5 0.000000e+00 5.420925e-23 3
82 5.76500000 5.79000000 0 5 0.000000e+00 4.797723e-23 3
83 5.79000000 5.81500000 0 5 0.000000e+00 4.560173e-23 3
84 5.81500000 5.84000000 0 5 0.000000e+00 4.652684e-23 3
85 5.84000000 5.86500000 0 5 0.000000e+00 5.047256e-23 3
86 5.86500000 5.89000000 0 5 0.000000e+00 5.637091e-23 3
87 5.89000000 5.91500000 0 5 0.000000e+00 6.201775e-23 3
88 5.91500000 5.94000000 0 5 0.000000e+00 6.498573e-23 3
89 5.94000000 5.96500000 0 5 0.000000e+00 6.400257e-23 3
90 5.96500000 5.99000000 0 5 0.000000e+00 5.985538e-23 3
91 5.99000000 6.01500000 0 5 0.000000e+00 5.539332e-23 3
92 6.01500000 6.04000000 0 5 0.000000e+00 4.905461e-23 3
93 6.04000000 6.06500000 0 5 0.000000e+00 8.663943e-23 3
94 6.06500000 6.09000000 0 6 0.000000e+00 2.612161e-21 3
95 6.09000000 6.11500000 0 6 0.000000e+00 2.146991e-19 3
96 6.11500000 6.14000000 0 6 0.000000e+00 3.307311e-21 3
97 6.14000000 6.16500000 0 5 0.000000e+00 1.821087e-22 3
98 6.16500000 6.19000000 0 5 0.000000e+00 7.021735e-22 3
99 6.19000000 6.21500000 0 5 0.000000e+00 4.098722e-22 3
100 6.21500000 6.24000000 0 5 0.000000e+00 2.090080e-22 3
101 6.24000000 6.26500000 0 5 0.000000e+00 1.314258e-22 3
102 6.26500000 6.29000000 0 5 0.000000e+00 1.068573e-22 3
103 6.29000000 6.31500000 0 5 0.000000e+00 1.035953e-22 3
104 6.31500000 6.34000000 0 5 0.000000e+00 1.057504e-22 3
105 6.34000000 6.36500000 0 5 0.000000e+00 1.041542e-22 3
106 6.36500000 6.39000000 0 5 0.000000e+00 9.563890e-23 3
107 6.39000000 6.41500000 0 5 0.000000e+00 8.259804e-23 3
108 6.41500000 6.44000000 0 5 0.000000e+00 6.977366e-23 3
109 6.44000000 6.46500000 0 5 0.000000e+00 6.050674e-23 3
110 6.46500000 6.49000000 0 5 0.000000e+00 5.540176e-23 3
111 6.49000000 6.51500000 0 5 0.000000e+00 5.328198e-23 3
112 6.51500000 6.54000000 0 5 0.000000e+00 5.260091e-23 3
113 6.54000000 6.56500000 0 5 0.000000e+00 5.215356e-23 3
