optimizer_updates,r2_theta1,r2_theta2
1000,-3.932440635040355,-7.924202951376117
2000,-1.3713327433105125,-2.2213994473611747
3000,-0.6424128077143203,-1.0117262985511863
4000,-2.4605034315991374,-0.13111161531541682
5000,-1.0279488503738992,-0.926861524896567
6000,-0.5813079440889166,0.05148113457330539
7000,0.40666657899599457,0.41311549030193895
8000,0.4314761716630644,0.4422964697238414
9000,0.44199155546313573,0.4507854642249376
10000,0.4797023638930855,0.4854022627426967
11000,0.47934940878144117,0.48438332967032705
12000,0.4799335230698466,0.4869855971660404
13000,0.49082441519571374,0.4966043377906745
14000,0.47657770964915913,0.4865131292730991
15000,0.42877960659278125,0.438586079816602
16000,0.24447860792591958,0.2669025902738278
17000,-0.8498763109149328,-0.7876126141473694
18000,-0.22356857996934254,-0.19664250394751037
19000,0.6166023782204613,0.6150018322346938
20000,0.7130108303059493,0.7145098058817139
21000,0.7611818146299636,0.7600340650022324
22000,0.8159494610000453,0.8164742857265714
23000,0.8528659709902509,0.8549978280105374
24000,0.8901229057003881,0.8908623137071747
25000,0.9100969653172305,0.9115440200256434
26000,0.9289230756986815,0.9302310213297901
27000,0.9411087052950199,0.942354885993348
28000,0.9463950656716169,0.9476760032476166
29000,0.9510674199254401,0.9526978118986414
30000,0.9522605526558175,0.9540695909162857
