optimizer_updates,r2_theta1,r2_theta2,r2_theta1_extrapolation,r2_theta2_extrapolation
1000,-5.997348754731693,-0.36490161470094584,-6.444433482963104,-0.45894839623337225
2000,0.05785190820574082,0.05808570634437815,-0.0021454747892448722,-0.008281178592957739
3000,0.07036528098965877,0.07339988288248822,0.010940372069760729,0.008167652201813924
4000,0.07703655428212208,0.07757162363350334,0.01771993198963684,0.012096477535631034
5000,0.07993738036529618,0.0794474729699799,0.020847102894307357,0.014155725056356538
6000,0.08123361935345053,0.08079462783869762,0.022227018068396553,0.015440360426965949
7000,0.08222786289443529,0.08190398018040312,0.023308178817844638,0.01670144455595879
8000,0.08360887916089643,0.083468543160932,0.024512673965207288,0.018043929621577526
9000,0.08498352368861883,0.08421272379793021,0.02611562934271705,0.019084032460327194
10000,0.08657295465688786,0.08562693846450797,0.027800151401663253,0.02056655312665412
11000,0.08752140596010305,0.08688693623684896,0.02881310743298271,0.021870482667861513
12000,0.08773798002113287,0.08825198877923879,0.02892776396629937,0.023203001226018927
13000,0.09010633484930075,0.08919136651981296,0.031423727801278556,0.024185977831893246
14000,0.09065605318005132,0.08989136879829407,0.032093622156105894,0.025071291067383483
15000,0.09044460863035486,0.090059788530924,0.032095953968840796,0.025433554246430345
16000,0.09217426815768626,0.09139012851618744,0.033623187046456726,0.0265287794165755
17000,0.09368790720107711,0.09293688842773318,0.03522054064654945,0.02817962491549786
18000,0.09498430491223797,0.094173797563047,0.03660825376162247,0.02952296942507804
19000,0.09619881396749086,0.09551346951215123,0.03789714104498343,0.03095198073479899
20000,0.09730232642324765,0.09665077677193556,0.039077038449885415,0.03218773059288571
21000,0.09833493452822484,0.09777878393253903,0.040176976469992076,0.033386729458595554
22000,0.09913283325249911,0.09876306395887524,0.04103763930019122,0.03443402803430495
23000,0.09963232636776109,0.09928879049484951,0.041565634761535075,0.03499362189711297
24000,0.10037864149721332,0.10014560010787399,0.04234167280334222,0.03589945612951606
25000,0.10104894005407206,0.1007923979403813,0.04305703543344985,0.036598961188260226
26000,0.10171783773550092,0.10154340395930261,0.04376712275402217,0.037398283714827785
27000,0.10265280031356827,0.10254471443594038,0.044762653843024136,0.038471630204806706
28000,0.10345218495651942,0.10341602540239803,0.04561390937573995,0.03940656251459951
29000,0.10409596462465232,0.10410594081493818,0.04629812952470991,0.04014202461721306
30000,0.10483517654791819,0.10489838484341163,0.04708494784363049,0.04098997179228203
