optimizer_updates,r2_theta1,r2_theta2
1,0.03365920351489593,0.039317548521971
101,0.12475299010582697,0.12699086126512404
201,0.16016130416486352,0.160993039517779
301,0.1966202654258442,0.19735108332515994
401,0.22267029072175315,0.22361263568394352
501,0.2435908597877786,0.24474072591384954
601,0.26947731845634326,0.2709244634302055
701,0.28648328148565505,0.2880968132209475
801,0.3021145737936932,0.30373308040112534
901,0.3186882091161931,0.32023618376024454
1001,0.33983449619961126,0.3408767508772399
1101,0.3582075055486901,0.3584628667991542
1201,0.3767647555255811,0.37564922939577483
1301,0.3948593489778145,0.39152931162316695
1401,0.40751419090321617,0.4011187509979951
1501,0.40516157004977305,0.3952429810748094
1601,0.37525576507459013,0.36352628794827335
1701,0.32053518523544866,0.309233221359996
1801,0.2498984529449323,0.23718237425508237
1901,0.1847086286970181,0.17001618205832214
2001,0.14478830212517835,0.12974976665242788
2101,0.13111334772548133,0.11786048734030974
2201,0.1337042975866375,0.12279264739959717
2301,0.13801429298736556,0.1285201077329009
2401,0.14480774892264536,0.137066525391214
2501,0.1644403833115815,0.16093612326243367
2601,0.1829020566197549,0.1830083214314343
2701,0.20112430271274506,0.20439497290057218
2801,0.22075959913617138,0.22691207528615098
2901,0.24131436101517445,0.2497309287133721
3001,0.26295102361298783,0.272923492637162
3101,0.2804433347302384,0.2911849059588375
3201,0.2939062872033362,0.30504988456715265
3301,0.3108395863568876,0.3223185453954912
3401,0.32814478199457175,0.33982929403635487
3501,0.34612152949061825,0.3579009016989274
3601,0.3642338288309451,0.37600277419142825
3701,0.38237699241519607,0.39403949221591317
3801,0.40030502339893426,0.4117711943753847
3901,0.41782405496171393,0.4290121074194956
4001,0.4347615896729762,0.4456010801780982
4101,0.45099761128111715,0.46143238395639563
4201,0.4665058436460249,0.47649587902575485
4301,0.48134925353597624,0.4908692732246186
4401,0.4956388730254897,0.5046748934520753
4501,0.5075836443092134,0.5162245340878676
4601,0.5199630026286449,0.5281450147690718
4701,0.5272042518861271,0.5351026810384929
4801,0.5354736300920564,0.5430785936208395
4901,0.5446454535569369,0.5519340714501351
5001,0.554547232273402,0.5615037574066892
5101,0.5650502911177943,0.5716670072488683
5201,0.576067438774022,0.5823424028411432
5301,0.5874351081514553,0.5933737546486315
5401,0.5989176050517774,0.6045315522940945
5501,0.6102253724238293,0.6155334090096434
5601,0.6211368992927209,0.6261618674186717
5701,0.6315775466998197,0.6363435986751724
