optimizer_updates,r2_theta1,r2_theta2
100,-1.284771116114003,-1.2506748295055972
200,-1.2903217623668861,-1.236915818614412
300,-1.2844399664211292,-1.230408081059501
400,-1.2846550082708026,-1.2209642226396809
500,-1.300291879361391,-1.2111207683694256
600,-1.3072221422831451,-1.2058904004151416
700,-1.317952895745941,-1.2013798830665325
800,-1.3273523783787118,-1.1955976132335828
900,-1.3212785368472972,-1.206518841699221
1000,-1.3159602604429144,-1.2046442484202382
1100,-1.323945470242836,-1.1987561413793437
1200,-1.3274893715838259,-1.1980761438311078
1300,-1.3311559137764934,-1.1952374637505985
1400,-1.3247668346753758,-1.1959225211425535
1500,-1.3354028744935755,-1.1841103578436254
1600,-1.334534573122621,-1.1788490661184126
1700,-1.3341190065267754,-1.173253668866903
1800,-1.3349632010008272,-1.1694349861773587
1900,-1.3367342845891828,-1.1677786584939325
2000,-1.3394394004882977,-1.170311068720033
2100,-1.34647321588033,-1.1536583359152668
2200,-1.3424735008221056,-1.079152372716461
2300,-1.2875555993099033,-0.9851909798643295
2400,-1.1920468006982095,-0.9510435517670592
2500,-1.1708634763825847,-0.951347276549819
2600,-1.1135363405862866,-0.948767613394202
2700,-1.044203014146917,-0.9495916417227976
2800,-0.987684246325014,-0.9541743612001616
2900,-0.9515549658056865,-0.9576305185023268
3000,-0.9390789426895694,-0.9561057828641775
3100,-0.9373130418343187,-0.9549977855272231
3200,-0.9458228669798541,-0.9592188518406668
3300,-0.9501670055981508,-0.9676297475666968
3400,-0.9527127489819534,-0.9874507892545976
3500,-0.9581878177658238,-0.9948770358288932
3600,-0.9636244148657529,-1.003308288338177
3700,-0.9758746497611794,-0.9963063275269697
3800,-0.9851907576465992,-0.9843914156187468
3900,-0.9850542771568267,-0.9747405761342194
4000,-0.9826326181720126,-0.9613441463521664
4100,-0.9903973415556808,-0.946369851363662
4200,-1.000598250544968,-0.9297975011708017
4300,-1.0217062368649303,-0.9076440351444401
4400,-1.038207901992862,-0.8944191732704354
4500,-1.0487365727796787,-0.8911017274963411
4600,-1.0404338829716115,-0.8925278531713032
4700,-1.005654352030477,-0.9006958985274163
4800,-0.9711194696912955,-0.9068116309188228
4900,-0.9244196126676134,-0.914708977967573
5000,-0.8997879942034657,-0.9204462234242938
5100,-0.8643690738758496,-0.9125204696296707
5200,-0.8457458578345116,-0.8988869083098034
5300,-0.8349832921707976,-0.8668249530623333
5400,-0.8291481379555259,-0.8335602054924736
5500,-0.816595654982162,-0.7777268914500892
5600,-0.8098296967594822,-0.7316981225645811
5700,-0.8011765618320419,-0.701164249609534
