# Time(s) Theta1(rad) Theta2(rad)
0.000000000000000000e+00 -2.617993877991494411e+00 3.141592653589793116e-01
1.000000000000000021e-02 -2.617659440153946360e+00 3.143318629307668144e-01
2.000000000000000042e-02 -2.616655815866646417e+00 3.148496747325831291e-01
2.999999999999999889e-02 -2.614982093569464094e+00 3.157127541796873604e-01
4.000000000000000083e-02 -2.612636757763609818e+00 3.169211815812478239e-01
5.000000000000000278e-02 -2.609617687545661369e+00 3.184750507360872285e-01
5.999999999999999778e-02 -2.605922179189586352e+00 3.203744493120722625e-01
7.000000000000000666e-02 -2.601546942471196555e+00 3.226194338870850276e-01
8.000000000000000167e-02 -2.596488127829058357e+00 3.252099979455915779e-01
8.999999999999999667e-02 -2.590741346349528573e+00 3.281460354429103221e-01
1.000000000000000056e-01 -2.584301687076522747e+00 3.314272958681699355e-01
1.100000000000000006e-01 -2.577163742607639030e+00 3.350533361734428506e-01
1.199999999999999956e-01 -2.569321641625973207e+00 3.390234566660337845e-01
1.300000000000000044e-01 -2.560769079778825397e+00 3.433366408662466007e-01
1.400000000000000133e-01 -2.551499359103364561e+00 3.479914791186122236e-01
1.499999999999999944e-01 -2.541505431058234787e+00 3.529860860954586732e-01
1.600000000000000033e-01 -2.530779944923277736e+00 3.583180088584103085e-01
1.700000000000000122e-01 -2.519315302935902334e+00 3.639841233392623332e-01
1.799999999999999933e-01 -2.507103712980642385e+00 3.699805350383460478e-01
1.900000000000000022e-01 -2.494137262318945947e+00 3.763024440984257812e-01
2.000000000000000111e-01 -2.480407989703590221e+00 3.829440126694429458e-01
2.099999999999999922e-01 -2.465907959687936746e+00 3.898982308978954925e-01
2.200000000000000011e-01 -2.450629349065738705e+00 3.971567620001474341e-01
2.300000000000000100e-01 -2.434564541662647130e+00 4.047097730317823494e-01
2.399999999999999911e-01 -2.417706227029742028e+00 4.125457616517404502e-01
2.500000000000000000e-01 -2.400047506870432557e+00 4.206513712725024057e-01
2.600000000000000089e-01 -2.381582007849577742e+00 4.290111957876678872e-01
2.700000000000000178e-01 -2.362304000497520207e+00 4.376075761912955331e-01
2.800000000000000266e-01 -2.342208522320001318e+00 4.464203924566506054e-01
2.899999999999999800e-01 -2.321291505184565285e+00 4.554268492866446749e-01
2.999999999999999889e-01 -2.299549904798598110e+00 4.646012607155785012e-01
3.099999999999999978e-01 -2.276981828662254514e+00 4.739148387620253366e-01
3.200000000000000067e-01 -2.253586665263531685e+00 4.833354816335528326e-01
3.300000000000000155e-01 -2.229365201111443984e+00 4.928275828695712901e-01
3.400000000000000244e-01 -2.204319734682666621e+00 5.023518460313012302e-01
3.500000000000000333e-01 -2.178454174206912786e+00 5.118651254625388169e-01
3.599999999999999867e-01 -2.151774116592436670e+00 5.213202961457504836e-01
3.699999999999999956e-01 -2.124286902665327936e+00 5.306661581491418644e-01
3.800000000000000044e-01 -2.096001643791872038e+00 5.398473823579037489e-01
3.900000000000000133e-01 -2.066929212782350422e+00 5.488045054997144900e-01
4.000000000000000222e-01 -2.037082192512503553e+00 5.574739811706481696e-01
4.100000000000000311e-01 -2.006474776884218603e+00 5.657882910564441259e-01
4.199999999999999845e-01 -1.975122619822582859e+00 5.736761187474388457e-01
4.299999999999999933e-01 -1.943042626248594251e+00 5.810625897588260758e-01
4.400000000000000022e-01 -1.910252678441271668e+00 5.878695760083052502e-01
4.500000000000000111e-01 -1.876771304706035925e+00 5.940160554128655068e-01
4.600000000000000200e-01 -1.842617278166853501e+00 5.994185255905236653e-01
4.700000000000000289e-01 -1.807809155506072685e+00 6.039914518122707632e-01
4.799999999999999822e-01 -1.772364754892763905e+00 6.076477358925589378e-01
4.899999999999999911e-01 -1.736300578727545396e+00 6.102991837874746084e-01
5.000000000000000000e-01 -1.699631187283469735e+00 6.118569469390388038e-01
5.100000000000000089e-01 -1.662368529714292720e+00 6.122319097435162671e-01
5.200000000000000178e-01 -1.624521238976581072e+00 6.113349928227339580e-01
5.300000000000000266e-01 -1.586093895911105722e+00 6.090773405170418764e-01
5.400000000000000355e-01 -1.547086265389721715e+00 6.053703594793866660e-01
5.500000000000000444e-01 -1.507492503503605308e+00 6.001255786866177555e-01
5.600000000000000533e-01 -1.467300330413551679e+00 5.932542927036286162e-01
5.700000000000000622e-01 -1.426490155768036949e+00 5.846669602142851030e-01
5.799999999999999600e-01 -1.385034136705187269e+00 5.742723198252696060e-01
5.899999999999999689e-01 -1.342895138344331940e+00 5.619761835195181687e-01
5.999999999999999778e-01 -1.300025557312461055e+00 5.476798645193687864e-01
6.099999999999999867e-01 -1.256365936066830002e+00 5.312781637158353609e-01
6.199999999999999956e-01 -1.211843327454023234e+00 5.126568753939351186e-01
6.300000000000000044e-01 -1.166369276595536908e+00 4.916896650814663872e-01
6.400000000000000133e-01 -1.119837322253184553e+00 4.682342201039706997e-01
6.500000000000000222e-01 -1.072119853597390371e+00 4.421274808735969342e-01
6.600000000000000311e-01 -1.023064132248870495e+00 4.131797333533980265e-01
6.700000000000000400e-01 -9.724872681363824212e-01 3.811673119046444236e-01
6.800000000000000488e-01 -9.201698860925050516e-01 3.458236050555145713e-01
